Title,LastName,FirstName,MaidenName,City,Postcode,Address
Mrs.,Beane,Ethel,Clarke,Kirkwall,KW8 9NG,"Studio 14, Watson burgs"
Miss,Hays,Margaret Bechstein,,,,
Master,Moor,Meier,,Gloucester,GL5 MX7,"Flat 60, Lawrence via"
Miss,Vander Planke,Augusta Maria,,Chester,CH8 8O7,"Studio 08, Dylan inlet"
Mr.,Partner,Austen,,Liverpool,L04 P01,0 Ross roads
Mr.,Backstrom,Karl Alfred,,Luton,LU1 6I1,6 Michelle expressway
Mr.,Rekic,Tido,,Huddersfield,HD5 520,"Flat 00, Chambers rest"
Mr.,Harrington,Charles H,,Enfield,EN7 L0K,"Flat 8, Abigail flats"
Miss,Boulos,Nourelain,,,,
Master,Goldsmith,"Frank John William ""Frankie""",,Norwich,NR9 VN1,233 Fiona isle
Mrs.,Futrelle,Lily May,Peel,Southend-on-Sea,SS0 2OX,"Studio 74, Bull trafficway"
Mr.,Silvey,William Baird,,Cardiff,CF9 Y52,"Studio 18, Taylor well"
Mrs.,Hamalainen,William ,Anna,Exeter,EX3 N7S,"Flat 4, Martin greens"
Mrs.,Palsson,Alma Cornelia,Berglund,Romford,RM6 BKB,61 Ronald corners
Mr.,Duane,Frank,,Shrewsbury,SY3 8LB,"Flat 74, Caroline viaduct"
Mr.,Farrell,James,,St Albans,AL9 Q0N,"Studio 1, Gregory squares"
Mr.,Hassab,Hammad,,,,
Mr.,Andrew,Edgardo Samuel,,Chester,CH0 6CD,942 Marion ford
Master,Coutts,"William Loch ""William""",,St Albans,AL1 VSH,"Studio 0, Wendy branch"
Master,Mallet,Andre,,,,
Miss,Ward,Anna,,,,
Mr.,Doharr,Tannous,,,,
Mr.,Elias,Joseph Jr,,,,
Dr.,Frauenthal,Henry William,,Salisbury,SP5 65R,78 Tony branch
Mr.,Pasic,Jakob,,Stockport,SK1 HFQ,02 Shirley motorway
Mrs.,Dick,Vera,Gillespie,Leicester,LE2 AKH,"Flat 88, Goddard passage"
Mr.,McCarthy,Timothy J,,Wakefield,WF0 GXT,"Studio 7, Mark dale"
